id;code_groupe_assures;code_groupe_population;type_groupe_assures;date_debut_periode_groupe_assures;libelle_groupe_assures_type_autre;code_etat_groupe_assures
1;vivaciously pro;matter until provided;barracks;2025-07-24;interestingly duh;violently till
2;yum especially;marimba;whoever;2025-07-24;elliptical;aside once between
3;delightfully phooey vivaciously;step-mother till;repossess;2025-07-24;openly;excited below along
4;within;magnificent;bright;2025-07-24;jealous athletic;instead boo
5;quash;wilted brr feather;insecure;2025-07-25;vulgarise lady;beyond um
6;broadly wicked urgently;fondly lay;wherever muddy;2025-07-25;overburden unnecessarily granular;below consequently
7;crossly;yet switch tuxedo;phony during rag;2025-07-24;presell;never
8;gnaw;farmer purple;prohibition;2025-07-24;anenst rosemary;membership oof
9;enrage;boohoo concerning;aboard spork;2025-07-25;wisely nervously whose;violin mould afore
10;uh-huh enrage shrill;transcend on;creator;2025-07-25;an;yahoo mmm
