id;numero_operation_niveau_0;etat_operation;date_effet_operation;date_demande_operation;date_creation;code_acte_gestion;numero_operation_annulee
1;bakeware;gah underpants;2025-07-24;2025-07-25;2025-07-24;yin yahoo astride;indeed
2;nimble obesity illustrious;pish frightfully ack;2025-07-25;2025-07-25;2025-07-24;especially tooth;upset these
3;luck doodle omelet;impractical;2025-07-24;2025-07-25;2025-07-25;gee verbally outrun;blowgun premise boastfully
4;loyally banish psst;softly psst misreport;2025-07-24;2025-07-25;2025-07-25;often whereas;who
5;captain when;instead disloyal;2025-07-24;2025-07-24;2025-07-25;ha yahoo;unexpectedly um gust
6;tremendously;modulo;2025-07-25;2025-07-24;2025-07-24;before;very
7;emphasise aha;beyond naturally why;2025-07-24;2025-07-25;2025-07-25;pro crossly;truthfully own boohoo
8;through quit;wide;2025-07-24;2025-07-25;2025-07-25;summer phooey;juvenile leading bobble
9;wisecrack;as bah;2025-07-24;2025-07-24;2025-07-25;interior;indolent
10;above stage zesty;stall well-made or;2025-07-25;2025-07-24;2025-07-25;bitterly fake what;strident swear till
