id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape;identifiant_ai;checked
1;next stealthily;honored why;key vivacious toe;although sadly cinch;whereas;battle boohoo amongst;abaft;impeccable unruly from;2025-07-25;2025-07-25;2025-07-24;jive;scratch duh yuck;2025-07-24;2025-07-24;degrease;musty hmph unethically;junior till um;chase why;longboat afterwards;and before;roughly;oil leap;tenderly because;true
2;once;libel;oof feather;along wildly;longingly awful capsize;the dally;forager duh eek;blah eek;2025-07-24;2025-07-24;2025-07-25;ordinary because;ew;2025-07-24;2025-07-24;pigpen;majority metal;supposing;arrange woot astride;wrathful how incidentally;who management quick-witted;violently;yowza nougat unto;judicious nor immense;true
3;than because;haul breed;at furthermore;sermon repurpose even;so indeed;sushi aha;mmm mmm indeed;catalog separate;2025-07-24;2025-07-24;2025-07-24;whereas once duh;conversation crafty scotch;2025-07-24;2025-07-24;lotion;conclude what beyond;long appertain failing;ouch respray;save;silk though yum;considerate serene;righteously;during;false
4;indeed;seriously while loyally;lively oh hmph;embarrassment hassle;hence;eek drat;um;treble huzzah wherever;2025-07-24;2025-07-25;2025-07-24;apud;once now;2025-07-25;2025-07-25;oxygenate but deep;excellent;what;bah as;lobster splash;but bowed;likewise indeed neck;so;gloat netsuke hence;true
5;scram so nor;partially needily likewise;sonnet or;quickly;numb;although clonk stint;gut;greedily times tank;2025-07-24;2025-07-24;2025-07-24;but;continually;2025-07-24;2025-07-25;westernise eek quietly;adventurously joshingly ick;quaintly draft captain;lightly;exhaust;lift plastic;opposite analyse proceed;notwithstanding biodegradable;swing cross-contamination;true
6;whether;jam-packed out knottily;micromanage simple;how;versus;mixed;notwithstanding;fondly glaring on;2025-07-24;2025-07-25;2025-07-25;what owlishly;surprise although incomparable;2025-07-24;2025-07-25;neat;and;coliseum;muffled freely excepting;wetly across like;daily;um;task;reboot;true
7;thoroughly;pretend supposing;shimmering unfortunately;rightfully around wrongly;yowza but;controvert awesome who;gee standard mmm;different satirize vengeful;2025-07-24;2025-07-24;2025-07-24;shark optimistically;cantaloupe;2025-07-25;2025-07-25;pantyhose sesame limply;fooey;terrorise quick-witted;among;cruelly gee;behind;inasmuch;hydrolyse consign jealously;narrow all;true
8;clone;tromp if yet;veg incidentally but;libel scamper;bravely furthermore;medium fireplace and;among yet following;until afore consequently;2025-07-25;2025-07-25;2025-07-24;swine excellent;disrespect uncommon;2025-07-25;2025-07-25;doing rag colligate;plan;gum athwart owlishly;fencing;gracefully;loftily because yesterday;till;icebreaker absent;haversack uh-huh querulous;false
9;gradient by;shinny tempting;throughout;from salty suitcase;who;limp excepting;bah nor properly;waterspout;2025-07-25;2025-07-24;2025-07-25;coast father;inquisitively at;2025-07-25;2025-07-25;wearily fortunately;inspect;humiliating gah fuss;how;oof excitedly;birdcage barring;trench vein;drat plump ick;suspension considering;false
10;recount aha jaggedly;geez;violin under;since quarrel likewise;smoothly blah;carelessly incidentally vivid;furthermore convection quizzically;glass;2025-07-24;2025-07-25;2025-07-24;knavishly tut;rectangular times;2025-07-25;2025-07-25;truly lest calmly;keenly;anti though;absent gerbil alliance;heavily encouragement shampoo;on gnash usefully;elderly nectarine;impact well-documented pile;potentially;true
