id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic;identifiant_ai;checked
1;wholly mmm;though onto reservation;through apostrophize lest;shakily carefully absentmindedly;unimpressively;gosh;atop hexagon;willfully;2025-07-24;2025-07-25;2025-07-24;onto restfully;everlasting;engender certification;2025-07-25;2025-07-25;fortunately;since till muscat;pointless suddenly;ah;than;but misread;ill thunderbolt abnormally;false
2;major since throughout;draw failing;sunbathe;avaricious;behind for;abaft;tangible arrange highly;woot during phooey;2025-07-24;2025-07-25;2025-07-25;surprisingly;those;meanwhile who;2025-07-25;2025-07-24;well-made;sugary politely;muddy;knowledgeably;splash;signature doting bitter;before skyline interchange;true
3;amazing ah;babushka hence;newsprint;repeatedly;coal yippee;boohoo;ew;even immediately;2025-07-24;2025-07-25;2025-07-25;extremely blah nearly;certification;what search geez;2025-07-24;2025-07-25;abaft rectangular hmph;hmph;marten;brr whoever;cool hastily;big sizzling;feminize expansion resolve;true
4;hmph satisfy;hastily up after;yahoo furlough;antagonize;madly watery;intensely geez troubled;yippee rise;noted;2025-07-25;2025-07-24;2025-07-24;finally whoever;boohoo fooey monster;meh grandson horn;2025-07-25;2025-07-24;thrifty;accidentally;consequently;singing overdue following;ick past;aside;vice fen;true
5;grouper braid likewise;boohoo entwine of;hmph lest lest;dislocate to flu;disadvantage blend;minus longingly;reporter legging;zowie;2025-07-24;2025-07-25;2025-07-25;yet;cute;accidentally supposing aha;2025-07-24;2025-07-24;that bah;until;circa yet whenever;why provided;lovable physical;than;wheel;false
6;fully well-documented;rout;lavish embed;why;battle ha;willfully separate;inquisitively on after;knowingly;2025-07-25;2025-07-25;2025-07-24;eek;appropriate forenenst;around provided nasalise;2025-07-25;2025-07-25;yuck;casket optimal hence;often huzzah;now aw selfishly;lest shameful;disk boohoo squeaky;loosely with excluding;true
7;omelet postbox arraign;besides fooey beneath;brr obsess monthly;or quizzically enrich;phew gratefully glimmer;mobility merrily wombat;circumnavigate before;with despite advocate;2025-07-25;2025-07-24;2025-07-25;mmm past;dally scared;wrongly ack;2025-07-24;2025-07-24;likewise gee;yahoo invite unimportant;thorny;generously hydrocarbon ha;notwithstanding;cafe;giant;false
8;whoa handover;who dual;behind quaintly after;embody antique unto;govern truly;cruelly astride meh;summary exacerbate;oxidize;2025-07-25;2025-07-24;2025-07-25;chunter midst;whoa;crowded astonishing than;2025-07-25;2025-07-24;or;brief atrium;aha mysteriously christen;technologist redesign;gadzooks;attraction aboard;bah even accredit;true
9;polished amend how;palatable;speedily;stool;hence;yahoo apropos embalm;cautiously integer;beneath stealthily amnesty;2025-07-24;2025-07-24;2025-07-24;once however blissfully;suddenly iridescence uproot;gracefully hold wasteful;2025-07-24;2025-07-24;by save obtrude;ack before;slowly;psst availability rapidly;hence weatherize;adaptation misfire;mmm till;true
10;behind abnormally partridge;than exactly;analogy coexist;yahoo genuine;famously forsaken;astride conjecture;zowie fluctuate drat;swiftly;2025-07-24;2025-07-24;2025-07-25;siege;of as;kiddingly jealously;2025-07-25;2025-07-24;internal ready;incidentally;experience bitterly;above;trust;hopeful lest tiny;that;true
