id;code_produit;date_adhesion_produit;date_radiation_produit;code_formule;code_famille_risque_formule;titre_formule;type_formule;code_etat
1;instead intrigue excellent;2025-07-24;2025-07-24;cope;inconsequential;next pish;boo like;cavernous
2;untidy;2025-07-24;2025-07-24;unhappy gymnast;unexpectedly from yowza;remorseful um;nervously label left;bah
3;tame;2025-07-25;2025-07-24;extricate equal aggravating;jogging;toaster sleepily buzzing;fond;regarding
4;conceal at;2025-07-24;2025-07-25;gadzooks concerning;zany brightly unless;in thunderbolt;bell;solemnly as especially
5;daintily which role;2025-07-25;2025-07-25;kookily;reporter castanet;sprinkles;youthful blah boo;afterwards unique worth
6;solution because eek;2025-07-25;2025-07-25;hard-to-find aha but;profuse;spear gah although;bewail nun eek;inveigle
7;hard-to-find;2025-07-24;2025-07-24;however;fluctuate brook shudder;while;huge;observe
8;instantly solution or;2025-07-25;2025-07-24;now save;blaspheme swelter;yet;regarding sarong;flame ack
9;pish;2025-07-24;2025-07-25;psst;psst pertinent oh;whoever;airmail handy lighthearted;modulo
10;fuzzy after kissingly;2025-07-24;2025-07-24;meh;jellyfish;wee spirit behind;against;grounded whether
