id;code_variable_declarative;unite_variable_declarative;valeur_facteur_montant;valeur_facteur_taux
1;shimmering hoot;versus tooth;where whose;unfortunately dishonor pillow
2;below randomize furthermore;king silver;defiantly below;drab creamy
3;bide source whose;deduction pale oily;topsail so;successfully cantaloupe
4;yippee;suspiciously;plumber;yowza lest bench
5;clonk that;tankful masterpiece;till interestingly yet;department
6;and depot;however;hypothesise mmm zowie;accessorise
7;mmm qua mediocre;gnash towards fill;simplistic;nifty
8;grounded yuck;unabashedly phooey diligently;vengeful while;elevator
9;kosher excluding;rarely lid buzzing;unwritten drat memorable;weird
10;backbone remand woot;iridescence pave indeed;uncork;upward winged whose
